Id,Habitability_score
0x6808,77.36
0x6a98,77.28
0xacc0,76.36
0x8225,80.23
0xaee8,73.94
0xbc8c,87.75
0x610e,74.93
0x62e8,72.01
0x818e,67.12
0x6dc0,76.59
0x15a6,78.4
0x675,46.6
0x6e24,71.62
0x3004,72.67
0x6aeb,79.35
0xc36b,35.78
0x17fc,80.83
0x58a5,71.65
0x6567,76.47
0x455a,79.1
0xa5f9,50.53
0x5913,77.29
0x1153,88.83
0xbe16,85.91
0xb98c,88.79
0x6a2e,76.02
0x11a9,72.49
0x28ab,80.74
0x878a,78.23
0x5c90,75.23
0xb32d,72.92
0xc467,85.39
0x775,50.15
0x3c43,66.89
0x877d,80.37
0x5596,78.55
0x1382,70.91
0x1da5,80.53
0x6042,38.43
0x124b,69.4
0x813f,81.35
0x74cf,75.88
0x48b5,87.75
0x5222,81.18
0x4b9d,78.97
0xb190,82.64
0x69b4,82.74
0x32dc,69.85
0xb82b,72.53
0xaf92,74.91
0x51bf,81.02
0x9a28,82.3
0x35cc,70.2
0x6b12,75.95
0x2677,79.8
0x20ab,76.24
0xc92c,84.38
0x72b6,75.71
0xa797,77.84
0x8f6f,41.1
0xc03a,26.4
0x587a,74.52
0xbe0a,84.45
0x3217,81.34
0x2517,76.49
0x33e0,70.66
0x8912,75.51
0xac07,75.52
0x88f0,80.56
0x9111,54.92
0x2ef7,73.69
0x20e7,72.83
0x19a9,79.55
0x2620,78.95
0xb520,80.45
0xbf7d,70.82
0x7626,78.12
0x77b8,77.33
0x2dca,75.3
0x54f4,75.71
0x5608,78.36
0xb858,74.7
0x918f,83.87
0x34b3,70.25
0x4070,83.9
0x5615,74.95
0xc2a8,79.88
0x1499,77.45
0x466f,79.05
0x9408,71.94
0xc9b,90.99
0x995d,82.8
0x34e6,75.83
0x8a16,75.27
0x2088,80.8
0xb8a8,77.84
0xba3f,75.43
0x1b1c,80.81
0x3d6c,76.09
0xa811,72.54
0x2836,82.2
0xc59c,82.19
0x81df,34.65
0xc8cb,75.67
0x5e45,72.54
0xc47f,80.47
0xb105,71.82
0x3f54,35.07
0x788f,53.09
0x74a3,75.89
0x934c,77.87
0x1dc1,78.17
0x3225,58.21
0x48cd,75.22
0xa0d7,75.18
0xbecb,73.26
0x4dd4,62.53
0x31c8,71.32
0xb9a7,88.55
0x654a,80.13
0x9cc4,75.47
0x5b2c,79.09
0x8cd4,76.43
0x6b0a,79.52
0x7f8,82.7
0x1a27,80.48
0x6ba1,76.52
0x35c9,83.47
0xbe2,83.15
0x9443,76.64
0xbbba,82.01
0x24fb,85.73
0x5ce2,73.72
0xa09f,79.33
0x8324,80.18
0xada9,66.75
0x32c5,55.82
0xa92b,80.28
0x9d7,66.21
0x6163,76.76
0xbebe,48.24
0x5c59,72.85
0x7eb1,72.64
0xa8b2,68.04
0x6240,73.76
0xac0b,60.39
0x87cc,79.44
0xb3cb,79.47
0x58e7,83.61
0x1014,72.77
0x7156,82.66
0x2046,46.45
0x556f,79.4
0xe85,78.16
0xa0c7,75.35
0x33bd,37.75
0xc7f4,89.73
0x1e4e,63.58
0x628a,77.51
0x9c9a,78.18
0x7069,77.57
0x3513,76.23
0x4482,91.22
0x4bf7,71.83
0x454d,86.9
0xc6ca,69.16
0x6dcf,80.32
0x6d1a,82.8
0xbbcb,25.85
0x341b,70.91
0x2231,76.23
0x9f47,65.24
0xb4f8,75.97
0xc83,80.12
0x53bb,71.29
0xa8f7,77.61
0x3237,55.46
0x7cc8,83.3
0x925a,33.01
0xab0c,82.81
0x7c3,77.63
0x79b2,78.13
0x4e06,72.85
0x684f,75.32
0x4e43,68.81
0x228d,78.59
0x2439,73.61
0xa47e,73.37
0xbe58,76.7
0x35ec,77.6
0x64d7,75.81
0x2e4f,72.04
0x47c6,77.65
0x2485,74.71
0x4143,75.99
0xbd68,83.0
0xbb6d,81.19
0x718e,80.27
0x757b,81.22
0xab1c,77.09
0xc082,74.97
0x218e,80.32
0x1717,70.78
0xc80c,80.54
0x6c92,76.22
0xc198,77.28
0x730a,81.86
0xa86a,72.61
0x368d,80.42
0x41cf,72.59
0x3d1e,63.56
0x2aab,86.11
0x64c5,40.65
0xa79c,72.23
0x7ce3,48.37
0x30f7,76.53
0x5944,81.12
0x3f53,72.46
0x15cc,80.57
0x4b3a,71.13
0x9a2b,75.36
0x1b3f,68.19
0x143c,79.38
0x843f,77.64
0x9328,75.46
0xc62f,93.34
0x23fe,82.34
0x3aac,80.35
0xae17,71.54
0x524f,75.59
0xca5,84.34
0x11e2,72.15
0x91b8,66.52
0x2377,89.29
0x5f0b,72.41
0x72d9,78.47
0x68ef,75.08
0x70b2,79.06
0xbff8,70.24
0x7c2c,89.94
0x529e,77.24
0x11ac,83.88
0x97d1,36.81
0xa2b3,83.58
0xb321,85.75
0x2265,53.65
0x3e00,71.02
0x6060,72.46
0xbd72,84.52
0x2ab0,70.42
0x5b2b,70.11
0x9809,80.6
0x9f83,71.36
